system:index,image_date,image_index,.geo
83,2022-08-09,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2022-08-25,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2022-09-10,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2022-09-26,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2022-10-12,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2022-10-28,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2022-11-13,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2022-11-29,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2022-12-15,91,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2023-01-16,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2023-03-05,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2023-03-21,94,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2023-04-06,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2023-05-08,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2023-05-24,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2023-06-09,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2023-06-25,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2023-07-11,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2023-07-27,101,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2023-08-12,102,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2023-08-28,103,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2023-09-13,104,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2023-09-29,105,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2023-10-15,106,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2023-11-16,107,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2023-12-02,108,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2023-12-18,109,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2024-01-03,110,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2024-01-19,111,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2024-02-04,112,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2024-02-20,113,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2024-03-07,114,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2024-03-23,115,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2024-04-24,116,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2024-05-10,117,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2024-05-26,118,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2024-06-11,119,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2024-06-27,120,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2024-07-13,121,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2024-07-29,122,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2024-08-14,123,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2024-08-30,124,"{""type"":""MultiPoint"",""coordinates"":[]}"
